Slno,P,Q
1,0.0458,0.0082
2,0.0451,0.0081
3,0.0436,0.0078
4,0.0422,0.0076
5,0.0428,0.0077
6,0.0472,0.0085
7,0.0523,0.0094
8,0.0617,0.0111
9,0.069,0.0124
10,0.0719,0.0129
11,0.0726,0.013
12,0.0719,0.0129
13,0.0675,0.0121
14,0.0668,0.012
15,0.0654,0.0117
16,0.0639,0.0115
17,0.0654,0.0117
18,0.0669,0.012
19,0.0697,0.0125
20,0.0712,0.0128
21,0.0697,0.0125
22,0.0654,0.0117
23,0.0581,0.0104
24,0.0509,0.0091
