Slno,P ,Q
1,-0.0864,-0.0432
2,-0.085,-0.0425
3,-0.0822,-0.0411
4,-0.0796,-0.0398
5,-0.0808,-0.0404
6,-0.089,-0.0445
7,-0.0986,-0.0493
8,-0.1164,-0.0582
9,-0.1302,-0.0651
10,-0.1356,-0.0678
11,-0.137,-0.0685
12,-0.1356,-0.0678
13,-0.1274,-0.0637
14,-0.126,-0.063
15,-0.1234,-0.0617
16,-0.1206,-0.0603
17,-0.1234,-0.0617
18,-0.1262,-0.0631
19,-0.1316,-0.0658
20,-0.1344,-0.0672
21,-0.1316,-0.0658
22,-0.1234,-0.0617
23,-0.1096,-0.0548
24,-0.096,-0.048
